basic_moving_percentage,basic_km,basic_trips,basic_avg_speed,basic_ignition_total_duration_in_sec,basic_ignition_moving_duration_in_sec,basic_fuel_consumed,can_km,can_fuel_consumed,country_code,vehcile_model
0.14,160.82,18,26.89,51280.0,7367.449548862889,34.86,,,AE,"Vfh12, 2015"
0.17,128.07,9,20.44,33731.0,5902.62031992055,26.94,,,SA,2016 VOLVO FH
0.57,126.78,6,18.5,15845.0,9018.584640335906,26.86,,,AE,2015 MAN
0.9,364.02,4,45.5,22404.0,20092.54925496344,74.86,,,SA,2011 Volvo fh
0.0,0.23,4,11.5,21419.0,2.019510579513488,0.25,,,SA,Volvo FH12 2007
0.52,159.78,11,24.91,25861.0,13473.742616418129,34.41,,,AE,2004 Volvo fh12
0.74,464.52,16,30.56,33966.0,25184.244626427542,96.59,,,AE,Volvo fh12
0.28,58.07,9,6.78,15448.0,4351.596518722785,12.87,,,KW,862476051334141
0.91,430.31,7,34.29,24655.0,22357.08323318031,88.6,,,AE,2005 Volvo fh12
0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,AE,"Ford transit, 2020"
0.49,305.79,23,11.87,36852.0,18144.913282259884,65.58,,,SA,Volvo fh12 2007
0.41,441.94,9,37.0,53969.0,22112.229927488497,93.12,,,AE,VOLVO FH 2008
0.57,299.24,11,29.18,23467.0,13360.023206070106,62.2,,,AE,"Vfh12, 2015"
0.85,226.57,14,25.86,24356.0,20716.386151509203,48.04,,,AE,2012 Volvo fh
0.67,360.6,7,23.86,32744.0,21966.417405341526,75.65,347.87000000011176,148.09999999999854,AE,2008 Volvo fh
0.91,232.5,4,42.0,16353.0,14806.158973984504,48.17,,,SA,2011 Volvo fh
0.85,332.36,11,26.27,31166.0,26584.467632932392,69.84,,,AE,2012 Volvo fh
0.0,0.0,0,0.0,0.0,0.0,0.0,,,AE,Volvo FH12 2004
0.48,331.56,5,51.2,46662.0,22319.053508402467,70.55,318.37999999988824,150.5,AE,2007 Volvo fh12
0.0,8.34,11,3.82,36420.0,0.0,2.22,,,SA,2012 Volvo fh
0.27,27.54,6,25.17,4204.0,1127.643053929513,5.81,,,AE,H unicorn
0.0,0.04,1,0.0,7585.0,0.0,0.06,,,AE,2016 MAN
0.3,371.05,17,33.71,57382.0,17029.750426034552,78.23,,,AE,"Vfh12, 2015"
0.47,465.35,19,17.58,52094.0,24525.20875016272,98.04,,,SA,2011/ Volvo FH
0.0,0.99,5,2.2,3457.0,0.0,0.45,,,SA,2011 Volvo fh
0.0,0.0,0,0.0,1066.0,0.0,0.0,,,BH,2012 Volvo fh
0.23,134.86,15,11.8,39409.0,9204.32496863182,29.39,,,AE,Volvo FH12 2008
0.0,0.09,1,0.0,41274.0,0.0,0.07,,,KW,2013  volvo fh12
0.1,71.33,13,19.62,32071.0,3201.721732682984,14.92,,,SA,Volvo FH12 2006
1.3,256.42,12,25.5,8925.0,11627.564185330832,52.15,,,SA,2015
0.83,613.34,10,35.1,41266.0,34160.82652756924,126.95,,,SA,Volvo FH12 2006
0.71,177.05,4,30.25,12976.0,9242.37744126288,36.61,,,AE,2006 Volvo fh12
0.47,428.99,5,35.4,57843.0,27141.607236043565,90.75,,,SA,Volvo FH12 2012
0.59,462.05,21,34.86,49385.0,29360.61331500448,98.13,463.8800000000047,43.90000000000009,AE,Toyota rush 2022
0.58,670.57,11,38.55,68062.0,39390.19781973384,140.61,,,SA,2015 Volvo fh
0.39,255.99,10,17.9,32618.0,12702.868710944467,53.88,,,SA,2015 Volvo fh
0.37,30.89,5,12.6,6291.0,2312.5890590196614,6.43,,,AE,2007 / Volvo fh 12
0.23,81.87,21,24.0,24094.0,5538.4720057429495,18.26,,,AE,Mercedes Actros 2003
0.54,290.74,5,34.6,31177.0,16728.65952450393,60.9,277.37000000011176,63.31999999994878,AE,2014 Volvo fh
0.0,1.0,2,2.5,4242.0,0.0,0.3,,,AE,2008 Volvo fh12
0.0,4.33,4,9.75,27463.0,0.0,1.07,,,AE,862476050161008
0.38,62.25,10,32.5,17679.0,6709.062295613615,13.68,,,AE,Volvo FH12 2003
18.64,1283.17,2,38.5,3219.0,59990.77278660255,64.01,,,SA,2011 Volvo fh
0.46,275.62,4,47.75,34907.0,16204.032603791064,58.02,,,AE,2015 Volvo fh
0.64,402.85,8,18.12,36081.0,23102.92318432812,84.28,,,AE,2011 Volvo fh
0.0,3.45,2,11.0,1715.0,0.0,0.79,,,AE,Volvo FH12 2004
0.0,3.33,6,3.83,1114.0,0.0,0.97,,,AE,2015 MAN
0.0,5.21,6,9.5,3903.0,0.0,1.34,,,AE,Volvo fh12 2007
0.22,124.69,16,10.31,31573.0,7045.472615221054,26.58,,,SA,Volvo fh 2011
0.0,0.0,0,0.0,0.0,0.0,0.0,,,AE,Volvo FH12 2012
0.43,337.32,2,60.0,46051.0,19693.85492160779,71.07,,,SA,Volvo FH12 2007
0.84,616.6,12,36.08,42177.0,35401.58691708122,127.63,,,KW,2005 Volvo fh
0.0,1.6,3,2.0,32973.0,0.0,0.47,,,AE,Volvo FH12 2008
0.51,491.0,11,29.91,64202.0,32785.58596018445,104.53,468.5,112.90000000002328,AE,2014 Volvo fh
0.52,368.21,19,20.0,41153.0,21308.8521053932,77.78,,,SA,2015 MAN
0.97,794.63,3,69.0,43264.0,42035.2400502422,162.59,,,SA,2011 Volvo fh
0.0,0.0,0,0.0,0.0,0.0,0.0,,,AE,"VOLVO FH12, 2002"
0.47,70.73,3,24.33,9257.0,4310.313793128275,14.97,,,SA,351742101076414
0.0,0.0,0,0.0,20354.0,0.0,0.0,,,AE,2012 Volvo fh
0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,AE,Renault Symbol 2020
0.92,439.75,8,42.25,26976.0,24878.750438679777,90.48,,,AE,Volvo FH12 2007
0.0,22.38,17,8.41,19204.0,0.0,5.33,,,AE,2005 Volvo fh
0.03,32.14,11,8.73,56209.0,1934.2572761235908,6.98,,,SA,2011 Volvo fh
0.0,10.63,3,19.33,13054.0,0.0,2.28,,,AE,Volvo Fh12 2011
0.0,0.0,0,0.0,0.0,0.0,0.0,,,AE,Volvo FH  2004
0.91,419.38,9,39.0,25955.0,23512.273175084767,86.52,,,AE,Volvo FH 2008
0.64,541.03,10,27.0,52909.0,34108.79206047114,113.64,503.2400000002235,155.9099999999744,AE,2014 Volvo fh
0.79,565.18,13,22.77,47441.0,37645.222748008695,118.13,612.7400000002235,225.90000000002328,AE,2014 Volvo fh
0.32,52.37,7,26.14,7700.0,2478.1899292127623,10.82,0.0,6.0,AE,Renault Symbol
0.78,127.7,18,36.06,14149.0,10984.227040272308,27.81,,,AE,Honda unicorn
0.76,494.75,9,39.44,35045.0,26593.21986309484,102.68,,,AE,2010 volvo fh
0.0,2.02,1,15.0,9199.0,0.0,0.45,,,AE,Volvo FH 2000
0.76,443.27,9,38.33,32810.0,25099.35327199953,91.89,,,AE,Volvo FH12 2007
0.49,140.65,2,60.0,15885.0,7753.375615481325,29.55,,,AE,2016 MAN
0.62,138.84,8,20.75,16355.0,10198.30202321697,29.3,131.12999999988824,43.11999999999534,AE,2010 Volvo fh
0.39,302.85,8,45.75,46138.0,18026.024652532644,64.6,290.37000000011176,96.19999999999708,AE,2014 Volvo fh
0.38,49.23,3,17.0,9532.0,3583.3930516529053,10.0,,,SA,2007 VOLVO FH 
0.09,19.64,4,21.25,20012.0,1832.6461529306969,4.13,,,AE,Volvo FH12 2000
0.58,310.21,13,26.15,32649.0,18826.56311711763,65.67,315.86999999999534,138.19000000000233,AE,2011 Volvo fh
0.57,222.68,7,31.0,27228.0,15565.10315231308,47.28,472.75,218.6199999999953,AE,2007 Volvo fh12
0.61,366.29,7,32.71,36051.0,22041.922640434488,77.04,,,SA,2011 VOLVO FH
0.45,293.08,8,25.5,46331.0,20756.471412352563,62.45,0.0,122.09999999999854,AE,2012 Volvo fh
0.37,369.93,13,24.08,48322.0,17952.599012046663,77.59,,,SA,Volvo FH12 2012
0.0,0.0,0,0.0,11.0,0.0,0.0,,,AE,Volvo FH12 2004
0.57,493.45,8,41.25,46375.0,26475.60562257545,103.29,,,AE,2016 MAN
0.0,0.29,4,0.25,9810.0,0.0,0.26,0.25,1.7199999999720603,AE,2014 Volvo fh
0.07,49.84,3,232.33,7686.0,515.260029469759,10.12,,,AE,863540060171122
0.44,253.61,16,12.88,33988.0,15109.102510120589,54.28,248.25999999977648,112.0,AE,2014/ Volvo FH
0.63,459.69,16,25.31,35710.0,22639.11828371528,96.08,,,SA,"Vfh12, 2015"
0.0,5.91,3,9.0,7103.0,0.0,1.33,,,AE,"Vfh 12, 2015"
0.12,16.87,5,11.4,9861.0,1155.034370090151,3.62,,,AE,"Volvo fh12, 2005"
1.07,349.85,8,29.5,17172.0,18401.84576686967,71.62,356.81999999999243,128.20000000000437,OM,2012 Volvo fh
0.0,2.05,7,3.86,13605.0,0.0,0.76,,,AE,2012 / Volvo fh
0.46,368.69,11,26.0,39368.0,18299.24924532445,77.66,,,SA,Volvo fh
0.63,165.13,28,28.32,20731.0,13054.33396703732,36.1,,,AE,Honda Unicorn
0.02,2.42,1,26.0,18628.0,335.4920392986762,0.53,,,AE,Volvo FH12 2012
0.88,416.1,8,37.5,32167.0,28450.36846285159,86.29,393.8799999998882,94.5,AE,2014 Volvo fh
0.62,396.38,13,11.77,34448.0,21197.92527768462,82.77,,,AE,2011 Volvo fh
0.0,0.0,0,0.0,10045.0,0.0,0.0,,,AE,"Volvo Fh13, 2010"
0.71,314.62,9,26.22,25290.0,17978.478744320462,65.38,,,AE,2016 MAN
0.77,569.55,12,24.83,38826.0,29744.67993894133,118.22,,,SA,2008 Volvo fh12
0.0,0.0,0,0.0,0.0,0.0,0.0,,,SA,2007 Volvo fh12
0.0,0.0,0,0.0,0.0,0.0,0.0,,,AE,2015 Volvo fh
0.53,487.69,14,34.21,49448.0,26206.47784629077,102.64,,,SA,2006 volvo fh12
0.71,501.69,4,56.0,41789.0,29787.31066505809,104.55,,,SA,Volvo fh12 2007
0.93,194.87,24,36.71,18598.0,17224.289642559987,41.58,,,AE,Honda unicorn
0.38,166.4,7,17.43,30103.0,11476.140478951562,35.83,,,SA,2011/ Volvo FH
0.07,49.25,4,16.5,46257.0,3127.240355350573,10.05,,,SA,2013 Volvo fh12
0.83,472.37,12,34.08,32973.0,27424.87391939195,98.0,,,AE,2005 Volvo fh12
0.01,16.13,9,19.33,46441.0,451.3496389202888,3.68,,,AE,Volvo FH 2008
0.23,134.13,34,16.0,40897.0,9299.550460203902,30.21,,,AE,"Volvo fh12, 2003"
0.76,204.53,5,28.0,15202.0,11482.500813999348,42.57,,,KW,2008 Volvo fh12
0.8,567.07,18,28.06,38427.0,30820.54272715983,117.82,,,AE,2006 Volvo fh12
0.45,182.02,18,19.11,39144.0,17590.469751881858,40.05,,,AE,2005 Volvo fh12
0.49,338.48,6,36.17,57756.0,28033.90022211356,72.62,0.0,167.0,AE,2008 Volvo fh
0.86,564.17,7,51.86,32372.0,27788.72776216016,115.98,,,SA,351742100802398
0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,AE,Toyota Hiace
0.0,7.71,22,1.0,57914.0,0.0,2.64,,,SA,2005 Volvo fh12
0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,AE,Renault Symbol 2020
0.35,69.41,46,22.89,10693.0,3719.0910057993137,16.94,,,AE,H unicorn
0.0,0.0,0,0.0,0.0,0.0,0.0,,,AE,Volvo FH12 2006
0.57,334.68,8,24.0,31115.0,17657.286958967987,69.75,,,SA,2012 Volvo fh12
0.96,820.69,3,60.0,42442.0,40906.98545622981,167.87,,,SA,2013 Volvo fh
0.58,564.5,15,30.27,51077.0,29546.0704795064,118.41,,,SA,"Vfh 12, 2015"
0.18,108.03,15,10.0,49335.0,8847.614740090026,24.1,105.25,54.81999999994878,OM,2014 Volvo fh
0.69,227.71,12,15.83,19055.0,13110.36648539102,47.7,,,AE,2013  volvo fh12
0.28,167.06,12,15.0,37447.0,10380.776841532836,35.62,160.37999999988824,56.19000000000233,AE,2014 Volvo fh
0.77,444.81,8,36.25,32114.0,24864.79897196716,92.11,,,AE,2006 Volvo fh12
0.5,372.48,8,194.75,35657.0,17713.557056218153,77.51,,,SA,2011 VOLVO FH
0.0,0.0,0,0.0,4567.0,0.0,0.0,0.0,0.6000000000058208,AE,2014 Volvo fh
0.77,99.15,31,32.74,10933.0,8418.9980081265,22.3,,,AE,H unicorn
0.0,4.59,9,4.0,55218.0,0.0,1.37,,,SA,2015 VOLVO FH
0.43,195.82,8,13.88,30690.0,13272.591067996997,41.66,,,AE,2013 Volvo fh
0.0,0.0,0,0.0,4880.0,0.0,0.0,,,AE,"VFh12, 2015"
0.77,350.12,11,34.18,29564.0,22776.80824255988,73.34,333.75,128.69000000000233,AE,2010 Volvo fh
0.0,8.39,10,1.7,34852.0,0.0,2.18,24.930000000051223,22.19999999999709,SA,2012 Volvo fh
0.75,776.11,15,35.93,53336.0,40025.67282091462,161.19,,,AE,Volvo FH12 2012
0.88,382.45,8,26.75,23139.0,20461.17344050615,78.8,,,AE,2011/ Volvo FH
0.0,0.55,7,1.29,27674.0,0.0,0.46,,,KW,2011 Volvo fh
0.0,0.0,0,0.0,4602.0,0.0,0.0,,,AE,2004 / Volvo fh12
0.0,0.0,0,0.0,16328.0,0.0,0.0,,,AE,2012 Volvo fh
0.0,0.0,0,0.0,10130.0,0.0,0.0,,,AE,2015 Volvo fh
0.6,121.47,4,40.75,13129.0,7832.176960064882,25.66,,,AE,2007 Volvo fh12
0.45,165.7,13,20.54,25127.0,11302.11714878247,35.85,,,AE,Volvo FH12 2000
0.79,607.97,12,24.5,38308.0,30232.9708273596,125.77,,,SA,"Volvo fh, 2006"
0.96,505.6,17,27.06,27011.0,25802.513772644445,104.29,488.5,169.60000000000582,AE,2014 Volvo fh
0.71,135.29,18,25.61,16935.0,11996.70669807096,29.47,,,AE,H unicorn
0.72,404.49,6,37.17,30295.0,21668.54993909762,84.19,,,AE,2007 Volvo fh12
0.45,344.64,15,19.53,63066.0,28284.38001265469,74.48,358.37999999988824,166.11999999999534,AE,2008 Volvo fh12
0.47,426.26,17,26.18,62161.0,28969.236084686807,91.49,,,AE,2010 Volvo fh
0.18,16.56,6,9.17,8184.0,1465.1988278409376,3.61,,,AE,2011 Volvo fh
0.55,274.32,24,19.71,48521.0,26575.95639047499,60.38,,,AE,2007 Volvo fh12
0.89,159.57,31,36.03,13635.0,12134.54528862669,34.59,,,AE,H unicorn
0.54,500.83,14,19.21,44182.0,23737.493763041424,104.61,,,AE,2006 Volvo fh12
0.0,0.0,0,0.0,264.0,0.0,0.0,,,AE,Mercedes Actros 2004
0.47,545.26,10,27.9,63371.0,29593.650598245586,114.94,526.0,165.09999999999127,OM,2014 Volvo fh
0.17,16.16,6,16.67,11198.0,1925.8896680794744,3.53,14.87999999988824,13.690000000002328,AE,VOLVO FH420
0.54,515.44,20,18.6,54916.0,29789.26637907388,109.05,,,AE,Volvo FH 2012
0.0,14.39,7,15.43,27386.0,13.062846692579786,3.23,,,SA,VOLVO FH 2009
0.0,0.0,0,0.0,0.0,0.0,0.0,,,AE,H unicorn
1.01,225.3,1,68.0,11834.0,11927.796340115869,45.99,,,AE,2008 Volvo fh12
0.5,458.75,12,24.92,50605.0,25202.18366607932,96.91,,,SA,2008 M Actros
0.0,0.0,0,0.0,12642.0,0.0,0.0,,,AE,Volvo FH12 2000
0.44,175.77,8,27.5,38603.0,17068.0739607623,38.32,169.5,50.09000000002561,AE,2014 Volvo fh
0.0,0.0,0,0.0,542.0,0.0,0.0,,,AE,2007 / Volvo fh 12
0.59,595.92,5,38.4,51010.0,30228.87338913783,124.12,,,SA,Volvo FH 2007
0.81,314.11,4,41.5,26186.0,21261.19595063552,65.18,,,AE,Volvo FH12 2000
1.19,276.95,11,20.0,13431.0,16037.520080343764,56.6,,,AE,2015 / Volvo fh12
0.88,948.96,9,46.0,54256.0,47522.32153746271,195.27,,,SA,2011 Volvo fh
0.0,0.0,0,0.0,22829.0,0.0,0.0,,,AE,Volvo FH 2007
0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,AE,Toyota Hiace
0.53,48.09,19,22.05,6881.0,3680.0767277883256,11.19,,,AE,H unicorn
0.77,635.99,12,46.08,40047.0,30966.327506562608,131.47,,,SA,"Volvo fh12, 2005"
0.84,837.4,8,54.62,46115.0,38574.31141534166,172.02,,,SA,9281
0.0,0.13,1,3.0,3785.0,0.0,0.08,,,AE,2007 / Volvo fh 12
0.53,323.38,10,24.9,38738.0,20613.65608953814,68.31,305.87999999988824,106.9099999999744,AE,2014 Volvo fh
0.68,451.49,12,28.5,43289.0,29291.7602801924,95.11,,,AE,2008 Volvo fh12
0.45,473.86,12,35.33,61802.0,27568.47312816876,100.19,,,AE,2013 volvo fh
0.0,3.74,3,8.33,3355.0,0.0,0.9,,,AE,"Vfh12, 2015"
0.89,546.8,9,50.56,33061.0,29385.775137103363,112.83,,,SA,350424062340086
0.68,754.69,6,56.83,57291.0,39000.4945138901,156.47,,,SA,2008 Volvo fh12
0.89,146.56,2,79.0,7502.0,6702.618637905089,29.79,146.31999999999243,13.299999999999272,AE,Renault Symbol
0.0,0.0,0,0.0,0.0,0.0,0.0,,,AE,Volvo FH12 2012
0.46,102.09,24,23.88,15589.0,7098.914446924303,22.3,,,AE,H unicorn
0.0,0.0,0,0.0,2578.0,0.0,0.0,,,KW,Volvo fh 2011
0.84,257.37,37,36.49,26426.0,22103.41015642941,55.81,,,AE,H unicorn
0.0,1.52,4,4.25,6968.0,0.0,0.5,,,AE,2011 Volvo fh
0.59,596.44,16,27.12,49658.0,29293.847291553124,124.78,,,AE,862476052265245
0.84,541.04,8,46.38,33131.0,27977.31275041939,111.47,,,SA,2012 Volvo fh
0.52,505.32,8,37.0,57775.0,29809.527507989595,106.57,511.6299999998882,227.09999999997672,AE,2012 volvo fh
0.5,345.94,9,37.67,40854.0,20416.286185768044,72.89,,,AE,Volvo FH12 2007
0.48,218.98,8,109.12,28343.0,13677.645302943043,46.18,201.4399999999441,65.29999999999563,AE,2012 Volvo fh
0.9,448.81,5,31.6,25791.0,23248.436612518315,92.23,,,AE,2011 Volvo fh
0.92,645.09,6,62.83,39049.0,35770.7712534683,132.55,0.0,0.0,OM,2014 Volvo fh
0.8,500.56,12,38.92,36148.0,29001.629569617744,104.22,,,AE,2010 Volvo fh
0.0,0.54,7,0.14,26384.0,0.0,0.46,,,KW,
0.8,368.04,5,40.2,26087.0,20927.39949950407,76.05,,,AE,2012 volvo fh12
0.36,15.26,2,20.0,3715.0,1345.6205451251851,3.15,,,AE,2005 Volvo fh12
0.62,430.97,15,17.27,38342.0,23647.45325193337,90.35,,,SA,2014 Volvo fh
0.0,3.15,4,3.75,37014.0,0.0,0.83,,,AE,354017111282998
0.0,0.0,0,0.0,1472.0,0.0,0.0,,,SA,Volvo FH12 2012
1.62,284.69,5,38.2,11102.0,17932.917151523172,56.66,,,AE,2015 Volvo fh
0.48,344.58,13,21.08,45400.0,21575.51733174357,72.9,,,SA,2012 Volvo fh12
2.1,439.96,9,27.78,9800.0,20587.904540101383,86.09,,,SA,351742101075994
0.44,238.53,10,30.3,38521.0,17131.770257703258,50.96,247.75,124.4099999999744,AE,2014/Volvo FH
0.63,344.7,10,34.4,44943.0,28247.738876699,73.36,331.0,84.0,AE,2014 Volvo fh
0.0,204.64,8,24.38,0.0,11603.02820009492,41.33,,,SA,351742100659681
0.0,0.05,1,1.0,5069.0,0.0,0.06,,,AE,38287 dxb
0.17,63.14,12,20.5,22784.0,3769.946507852317,14.11,,,SA,354017111282998
0.83,384.1,7,39.86,24148.0,19931.671796422044,79.28,,,AE,2006 volvo fh12
0.26,182.83,6,29.67,36359.0,9466.875185120542,38.5,,,AE,2013 / Volvo fh
0.48,349.11,14,15.93,44228.0,21129.81916875415,73.85,,,SA,2011 Volvo fh
0.47,369.88,11,23.0,47915.0,22587.373619265843,78.55,,,AE,2012 volvo fh
0.85,23.48,3,30.33,3277.0,2785.0983302136183,4.85,23.48000000001048,2.0,AE,"Ford transit, 2020"
0.89,426.92,6,38.0,27553.0,24478.51226565461,87.95,,,AE,359633108599999
0.69,753.61,12,36.58,61324.0,42106.09543071247,157.03,758.8799999998882,265.0,AE,2013 Volvo fh
0.0,0.0,0,0.0,401.0,0.0,0.0,,,AE,Volvo FH12 2006
0.8,190.93,8,25.38,18368.0,14748.815280251449,40.34,,,AE,2005 Volvo fh12
0.21,126.0,4,38.25,40354.0,8452.597480948105,27.11,,,AE,Volvo FH12 2004
0.55,293.0,5,59.6,31262.0,17245.25265365865,61.31,,,AE,Volvo fh
0.0,0.0,0,0.0,0.0,0.0,0.0,,,AE,Volvo FH12 2006
0.56,118.37,48,31.29,15350.0,8600.36535220073,27.29,,,AE,H unicorn
0.58,367.52,10,20.9,34567.0,20024.20698517692,76.98,,,SA,2011 VOLVO FH
0.94,157.98,37,38.22,14050.0,13161.251066305304,34.48,,,AE,H unicorn
0.5,631.82,12,37.92,69203.0,34900.646560051995,132.79,,,KW,2013 volvo fh12
0.69,122.98,34,28.29,14241.0,9867.072201875011,27.33,,,AE,H unicorn
0.56,490.99,27,18.63,49988.0,28079.632724582632,103.8,,,AE,350424062340003
0.39,124.28,36,25.08,18860.0,7392.086748209952,28.11,,,AE,H unicorn
0.27,53.92,4,26.25,14300.0,3893.077736601641,11.79,,,SA,2012 volvo FH
0.09,68.63,3,21.33,42819.0,3977.764559723836,14.81,,,SA,Volvo FH480 2008
0.0,0.0,0,0.0,12159.0,0.0,0.0,,,AE,2015 Volvo fh
6.75,237.13,9,28.22,2632.0,17774.99912730295,32.97,229.87000000011176,124.40000000000872,AE,2008/Volvo FH
0.67,494.08,14,26.29,37651.0,25051.636967880066,102.72,,,SA,2014 MAN
0.24,225.85,16,18.62,43815.0,10654.902009594123,47.63,,,AE,354017111282998
0.0,0.0,0,0.0,0.0,0.0,0.0,,,AE,Volvo FH12 2012
0.34,430.3,5,50.6,58674.0,19902.13583908867,90.12,,,SA,2013 volvo fh
0.66,573.91,16,33.19,43708.0,28985.38831639189,119.87,,,AE,"Vfh12, 2015"
0.97,648.89,17,35.35,34681.0,33740.608859715576,133.5,,,AE," vfh12, 2015"
0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,AE,Toyota Avanza 2020
0.0,0.0,0,0.0,2343.0,0.0,0.0,0.0,0.9100000000034923,AE,2012 Volvo fh
0.51,437.35,21,23.05,42114.0,21652.645644439963,92.36,,,AE,2007 VOLVO FH 
0.8,298.25,6,37.67,21534.0,17284.362366179535,61.7,0.0,97.5,AE,2013 Volvo fh
0.0,10.2,8,3.75,13105.0,0.0,2.44,,,SA,2013 Volvo fh
0.05,41.92,13,13.54,14471.0,668.0566084118561,9.03,42.75999999977648,26.5,AE,2013 Volvo fh
0.25,142.67,8,17.62,34501.0,8639.689369735908,30.58,,,SA,2011/ Volvo FH
0.42,162.99,4,37.5,29039.0,12150.464699850872,34.92,154.12000000011176,58.80999999999767,AE,2014 Volvo fh
0.34,259.71,10,23.9,50431.0,17053.681602063793,55.49,249.12000000011176,117.80000000000292,AE,2008/Volvo FH
0.63,372.23,10,33.5,40505.0,25478.849252929944,78.86,362.0,161.80999999999767,AE,2008 Volvo fh12
0.0,5.68,2,13.5,6764.0,0.0,1.24,,,AE,862476050161008
0.0,3.28,4,9.5,4546.0,0.0,0.86,,,AE,Volvo Fh12 2011
0.0,9.84,24,3.67,29694.0,0.0,3.17,,,SA,2006 volvo fh
0.45,43.83,6,11.83,11332.0,5105.708357829626,9.75,,,BH,2011 Renault premium
0.0,0.0,0,0.0,0.0,0.0,0.0,,,AE,2006 Volvo fh12 
0.61,577.72,16,23.81,49053.0,29936.32017362445,120.93,,,AE,Volvo FH 2008
0.6,551.56,13,29.15,49891.0,29779.500565122777,115.62,,,AE,2014 Volvo fh
0.0,0.0,0,0.0,0.0,0.0,0.0,,,AE,H unicorn
0.47,437.99,12,37.92,52518.0,24914.53334606742,92.2,,,SA,351742101090886
0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,AE,Renault Symbol 2020
0.0,0.4,1,3.0,37229.0,0.0,0.13,0.3799999998882413,44.0,AE,2014/Volvo FH
0.89,420.08,6,30.17,27359.0,24416.35770662328,86.57,,,AE,2011 Volvo fh
0.38,216.16,21,18.33,35686.0,13597.787312544891,46.48,,,AE,Volvo FH12 2006
0.0,0.0,0,0.0,11473.0,0.0,0.0,,,AE,Volvo FH12 2012
0.08,31.01,14,8.21,29971.0,2535.270699056168,6.9,,,AE,2013 Volvo fh
